tempo,porta_origem,porta_destino,cwnd,srtt,retrans,ssthresh,packets_out,ca_name,ca_state
2026-07-13 02:32:03.856534,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:03.856534,45106,5202,188,21,3,,3,reno,0
2026-07-13 02:32:03.856534,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:03.856534,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:03.856534,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:03.856534,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:03.856534,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:03.856534,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:03.856534,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:03.856534,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:03.856534,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:03.856534,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:03.856534,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:03.856534,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:32:03.856534,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:32:03.856534,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:32:03.856534,45092,5202,10,69,0,,0,reno,0
2026-07-13 02:32:03.856534,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:32:03.856534,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:32:03.856534,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:32:03.856534,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:32:03.856534,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:32:04.889766,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:32:04.889766,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:32:04.889766,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:32:04.889766,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:32:04.889766,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:32:04.889766,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:32:04.889766,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:04.889766,45106,5202,188,38,3,,4,reno,0
2026-07-13 02:32:04.889766,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:04.889766,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:04.889766,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:04.889766,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:04.889766,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:04.889766,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:04.889766,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:04.889766,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:04.889766,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:04.889766,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:04.889766,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:04.889766,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:32:04.889766,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:32:04.889766,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:32:04.889766,45092,5202,10,69,0,,0,reno,0
2026-07-13 02:32:04.889766,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:32:04.889766,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:32:04.889766,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:32:04.889766,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:32:04.889766,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:32:05.935261,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:32:05.935261,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:32:05.935261,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:32:05.935261,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:32:05.935261,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:32:05.935261,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:32:05.935261,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:05.935261,45106,5202,198,53,5,,6,reno,0
2026-07-13 02:32:05.935261,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:05.935261,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:05.935261,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:05.935261,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:05.935261,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:05.935261,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:05.935261,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:05.935261,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:05.935261,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:05.935261,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:05.935261,48256,5202,10,51,0,,2,cubic,0
