tempo,porta_origem,porta_destino,cwnd,srtt,retrans,ssthresh,packets_out,ca_name,ca_state
2026-07-13 02:11:40.921978,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:11:40.921978,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:11:40.921978,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:11:40.921978,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:11:40.921978,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:11:40.921978,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:11:40.921978,47562,5202,10,38,0,,0,cubic,0
2026-07-13 02:11:40.921978,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:11:40.921978,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:11:40.921978,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:11:40.921978,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:40.921978,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:11:40.921978,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:11:40.921978,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:11:40.921978,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:11:40.921978,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:11:40.921978,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:11:40.921978,47574,5202,52,25,5,39.0,5,cubic,0
2026-07-13 02:11:40.921978,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:11:41.954014,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:11:41.954014,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:11:41.954014,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:11:41.954014,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:11:41.954014,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:11:41.954014,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:11:41.954014,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:41.954014,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:11:41.954014,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:11:41.954014,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:11:41.954014,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:11:41.954014,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:11:41.954014,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:11:41.954014,47562,5202,10,38,0,,0,cubic,0
2026-07-13 02:11:41.954014,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:11:41.954014,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:11:41.954014,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:11:41.954014,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:41.954014,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:11:41.954014,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:11:41.954014,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:11:41.954014,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:11:41.954014,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:11:41.954014,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:11:41.954014,47574,5202,52,22,5,39.0,5,cubic,0
2026-07-13 02:11:41.954014,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:11:42.989108,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:11:42.989108,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:11:42.989108,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:11:42.989108,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:11:42.989108,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:11:42.989108,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:11:42.989108,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:42.989108,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:11:42.989108,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:11:42.989108,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:11:42.989108,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:11:42.989108,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:11:42.989108,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:11:42.989108,47562,5202,10,38,0,,0,cubic,0
2026-07-13 02:11:42.989108,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:11:42.989108,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:11:42.989108,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:11:42.989108,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:42.989108,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:11:42.989108,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:11:42.989108,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:11:42.989108,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:11:42.989108,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:11:42.989108,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:11:42.989108,47574,5202,56,41,14,42.0,3,cubic,0
2026-07-13 02:11:42.989108,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:11:44.031117,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:11:44.031117,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:11:44.031117,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:11:44.031117,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:11:44.031117,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:11:44.031117,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:11:44.031117,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:11:44.031117,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:11:44.031117,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:11:44.031117,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:11:44.031117,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:11:44.031117,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:11:44.031117,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:11:44.031117,47562,5202,10,38,0,,0,cubic,0
2026-07-13 02:11:44.031117,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:11:44.031117,45750,5202,10,44,0,,2,cubic,0
